#   DATE TIME   EVLA    EVLO   STLA    STLO  EVDP   DIST    AZI    BAZ   FAST DFAST  TLAG DTLAG   SPOL DSPOL    WBEG    WEND STAT STRIKE   DIP REGION
 2008082 2124  52.10 -178.98  30.48  -99.80 256.0  60.18  77.77 315.71 -75.00  3.75  1.58  0.09 315.51  1.57 1047.99 1069.93  JCT 257.38 58.86 Aleutian
 2008082 2124  52.10 -178.98  31.70 -105.38 256.0  55.94  80.75 314.42 -68.00  2.75  1.48  0.08 317.79  0.59  997.85 1030.33 MNTX 257.38 58.86 Aleutian
 1993284 1554  32.02  138.24  38.03 -120.39 391.0  78.96  52.07 301.95  58.00 20.50  0.28  0.24  79.38  0.22 1251.96 1267.37  CMB 159.87 50.85 Izu-Bonin
 2002214 2311  29.35  139.25  38.03 -120.39 441.5  79.91  52.09 299.27   1.00 20.00  0.25  0.28 115.82  0.43 1241.21 1260.33  CMB 158.11 63.74 Izu-Bonin
 2008202 2130  27.77  139.62  48.26 -117.12 481.4  77.94  41.69 298.12 -46.00  3.50  1.43  0.17 114.31  1.49 1210.27 1230.16  NEW 161.40 71.21 Izu-Bonin
 1992220 1111  35.74  135.33  38.03 -120.39 364.0  78.56  51.33 306.45 -34.00  3.00  1.65  0.17 342.24  1.63 1245.56 1262.59  CMB 168.13 25.29 Japan
 1995089 2215  44.84  137.54  54.72 -101.98 319.4  68.71  32.45 318.85  88.00 10.00  0.55  0.16 157.77  2.03 1134.67 1155.77  FFC 207.61 24.05 Japan
 1995090 1401  38.27  135.04  37.63 -118.83 358.0  78.38  51.14 309.47   5.00  7.00  1.60  0.23  74.30  1.64 1247.33 1261.88 MLAC 204.03 30.69 Japan
 1996357 1453  43.10  139.06  38.03 -120.39 238.0  71.83  54.79 310.73   7.00  7.00  1.15  0.35  21.29  1.01 1192.49 1219.17  CMB 225.52 26.16 Japan
 1996357 1453  43.10  139.06  54.72 -101.98 238.0  69.58  32.79 316.86  18.00 19.75  0.65  0.29 182.55  0.93 1161.88 1187.63  FFC 225.52 26.16 Japan
